,CODGEO\DEP,medecins,population,FCA,desert_medical
0,75056,358.0,2145906.0,0.00020813502108976478,False
1,77001,0.0,1151.0,3.958649132826701e-05,False
2,77002,0.0,819.0,3.388620930748153e-05,False
3,77003,0.0,342.0,3.7837964552998464e-05,False
4,77004,0.0,299.0,4.1318089174808556e-05,False
5,77005,0.0,3305.0,4.791651357120058e-05,False
6,77006,0.0,978.0,4.4142079985703484e-05,False
7,77007,0.0,355.0,3.860565838810055e-05,False
8,77008,0.0,1213.0,3.788531376579335e-05,False
9,77009,0.0,129.0,3.406184318517242e-05,False
10,77010,0.0,941.0,3.753859538299654e-05,False
11,77011,0.0,491.0,3.440944864331798e-05,False
12,77012,0.0,292.0,3.180473699158353e-05,True
13,77013,0.0,361.0,3.7482717217033395e-05,False
14,77014,0.0,13545.0,4.8168616153498716e-05,False
15,77015,0.0,100.0,3.107809920031528e-05,True
16,77016,0.0,1607.0,3.608045441277816e-05,False
17,77018,0.0,7288.0,4.436287221492331e-05,False
18,77019,0.0,335.0,3.2084633115293915e-05,True
19,77020,0.0,649.0,3.328436694189485e-05,True
20,77021,0.0,154.0,3.44791465333358e-05,False
21,77022,0.0,1245.0,4.5454924706993244e-05,False
22,77023,0.0,359.0,3.910064902765956e-05,False
23,77024,0.0,393.0,3.5098978774366435e-05,False
24,77025,0.0,872.0,3.158162841337278e-05,True
25,77026,0.0,354.0,3.297022736696904e-05,True
26,77027,0.0,1175.0,3.805397716891716e-05,False
27,77029,0.0,185.0,3.80249492823424e-05,False
28,77030,0.0,773.0,3.310337143377655e-05,True
29,77031,0.0,946.0,3.818296281747944e-05,False
30,77032,0.0,924.0,3.134090971301693e-05,True
31,77033,0.0,230.0,3.147239929437505e-05,True
32,77034,0.0,782.0,4.088711433274384e-05,False
33,77035,0.0,546.0,3.4052598599086984e-05,False
34,77036,0.0,134.0,3.178954926054713e-05,True
35,77037,3.0,5933.0,5.990292226407262e-05,False
36,77038,0.0,413.0,5.368800657807214e-05,False
37,77039,0.0,1169.0,5.224949559994724e-05,False
38,77040,0.0,3712.0,5.043099389100652e-05,False
39,77041,0.0,278.0,3.8261168710999454e-05,False
40,77042,0.0,3249.0,3.6383228499574195e-05,False
41,77043,0.0,334.0,3.3766972302866314e-05,True
42,77044,0.0,952.0,3.7426550376454695e-05,False
43,77045,0.0,721.0,3.53546995774482e-05,False
44,77046,0.0,329.0,3.740668590550709e-05,False
45,77047,0.0,1698.0,3.9762983724534275e-05,False
46,77048,0.0,2768.0,3.9609229347391786e-05,False
47,77049,0.0,837.0,3.938362281465441e-05,False
48,77050,0.0,528.0,3.70335381799364e-05,False
49,77051,0.0,2337.0,2.8104014939359836e-05,True
50,77052,0.0,361.0,3.78973740313904e-05,False
51,77053,0.0,19161.0,5.8174065619871945e-05,False
52,77054,0.0,721.0,3.445103599765094e-05,False
53,77055,2.0,4890.0,6.209282270060614e-05,False
54,77056,0.0,147.0,3.554118541119876e-05,False
55,77057,0.0,539.0,3.4493627822943166e-05,False
56,77058,4.0,26551.0,6.131454050293926e-05,False
57,77059,0.0,676.0,6.0654355640336115e-05,False
58,77060,0.0,730.0,3.846775665254246e-05,False
59,77061,0.0,2575.0,3.560669494041603e-05,False
60,77062,0.0,456.0,5.172050008034553e-05,False
61,77063,0.0,1251.0,3.750227832648094e-05,False
62,77065,0.0,1247.0,4.45820991514142e-05,False
63,77066,0.0,310.0,3.182827120410475e-05,True
64,77067,0.0,10937.0,5.329050370010878e-05,False
65,77068,0.0,215.0,2.8365418286792935e-05,True
66,77069,0.0,2083.0,4.674359288141845e-05,False
67,77070,0.0,1520.0,3.596563541094883e-05,False
68,77071,0.0,842.0,3.591484467441397e-05,False
69,77072,0.0,678.0,3.413232024200727e-05,False
70,77073,0.0,553.0,3.316959392389402e-05,True
71,77075,0.0,1384.0,4.595483310818549e-05,False
72,77076,0.0,757.0,2.8617739487262265e-05,True
73,77077,0.0,1032.0,4.000121788415927e-05,False
74,77078,0.0,1365.0,3.729237605115399e-05,False
75,77079,0.0,6354.0,3.79369372543612e-05,False
76,77080,0.0,197.0,3.1699960370174325e-05,True
77,77081,0.0,731.0,4.622847179646332e-05,False
78,77082,0.0,812.0,4.022782970048013e-05,False
79,77083,0.0,25230.0,6.531978671267577e-05,False
80,77084,0.0,1372.0,3.7419761643170904e-05,False
